id,rating,comment,categories,Вопрос решен,Нравится качество выполнения заявки,Нравится качество работы сотрудников,Нравится скорость отработки заявок,Понравилось выполнение заявки,Другое
2945792,5,спасибо,Вопрос решен,1,0,0,0,0,0
3380332,5,отлично,Вопрос решен,1,0,0,0,0,0
3381812,5,благодарю за оперативное решение проблемы,Нравится скорость отработки заявок,0,0,0,1,0,0
3461991,5,прекрасный специалист побольше таких,Нравится качество работы сотрудников,0,0,1,0,0,0
3572768,1,пересчет и скорость,Другое,0,0,0,0,0,1
3584536,5,спасибо за обновление покраски стен,Нравится качество работы сотрудников,0,0,1,0,0,0
3596020,5,выполнили быстро,Нравится скорость отработки заявок,0,0,0,1,0,0
3627490,5,спасибо управляющей компании за то что прислали грамотного специалиста и быстро отреагировали на заявку,"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество работы сотрудников""]}",0,0,1,1,0,0
3695420,5,решили мой вопрос спасибо,Вопрос решен,1,0,0,0,0,0
3716702,5,очень радует работа ук оперативно спасибо,"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество выполнения заявки""]}",0,1,0,1,0,0
3726842,5,все исправили,Вопрос решен,1,0,0,0,0,0
3745025,5,спасибо за оперативную работу,"{""choices"":[""Нравится скорость отработки заявок"",""Понравилось выполнение заявки""]}",0,0,0,1,1,0
3749719,5,выполнили отлично обработка заявки была слишком дорогой,Понравилось выполнение заявки,0,0,0,0,1,0
3751364,5,спасибо большое теперь не скрипят,Вопрос решен,1,0,0,0,0,0
3773834,1,норм,Другое,0,0,0,0,0,1
3791959,5,спасибо все прошло очень хорошо,"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}",1,0,0,0,1,0
3797804,5,спасибо пришли все поменяли за минут,Нравится качество работы сотрудников,0,0,1,0,0,0
3799741,5,все очень оперативно,Нравится скорость отработки заявок,0,0,0,1,0,0
3802024,5,огромное спасибо,Понравилось выполнение заявки,0,0,0,0,1,0
3805876,5,все отлично спасибо,Вопрос решен,1,0,0,0,0,0
3812092,5,хороший мастер,Нравится качество работы сотрудников,0,0,1,0,0,0
3815412,5,спасибо за оперативность,Нравится скорость отработки заявок,0,0,0,1,0,0
3820641,5,выполнена,Вопрос решен,1,0,0,0,0,0
3828569,5,все супер мастер,Нравится качество работы сотрудников,0,0,1,0,0,0
3829748,5,благодарю ребят,Нравится качество работы сотрудников,0,0,1,0,0,0
3831509,5,спасибо большое,Вопрос решен,1,0,0,0,0,0
3834081,5,проблема решена ручки на окна поставили спасибо за обратную связь,"{""choices"":[""Нравится качество выполнения заявки"",""Нравится качество работы сотрудников""]}",0,1,1,0,0,0
3835748,5,благодарю за проделанную работу,Понравилось выполнение заявки,0,0,0,0,1,0
3835874,5,надеюсь и причину устранили а то после первого дождя будет тоже самое,Другое,0,0,0,0,0,1
3839647,5,спасибо всё чётко,Вопрос решен,1,0,0,0,0,0
3840353,5,благодарю,Вопрос решен,1,0,0,0,0,0
3841026,5,спасибо сергей,"{""choices"":[""Нравится качество работы сотрудников"",""Вопрос решен""]}",1,0,1,0,0,0
3842440,5,михаил отличный мастер своего дела сделал быстро чисто дал рекомендации,Нравится качество работы сотрудников,0,0,1,0,0,0
3842790,5,хоть что то сделали,Вопрос решен,1,0,0,0,0,0
3844645,5,профессионально быстро очень приятный мастер,Нравится качество работы сотрудников,0,0,1,0,0,0
3846831,5,спасибо вопрос решили всё стало нормально,Вопрос решен,1,0,0,0,0,0
3848236,5,татьяна владимировна большое вам спасибо,Понравилось выполнение заявки,0,0,0,0,1,0
3850118,1,спасибо за быстрый ответ,Нравится скорость отработки заявок,0,0,0,1,0,0
3852179,5,огромное спасибо вам от всего подъезда,"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}",1,0,0,0,1,0
3854073,5,все отлично,Вопрос решен,1,0,0,0,0,0
