id,rating,comment,Нравится скорость отработки заявок,Нравится качество выполнения заявки,Нравится качество работы сотрудников,Понравилось выполнение заявки,Вопрос решен
2945792,5,спасибо,0,0,0,0,0
3380332,5,отлично,0,0,0,0,0
3381812,5,благодарить за оперативный решение проблема,0,0,0,0,0
3461991,5,прекрасный специалист большой такой,0,0,0,0,0
3572768,1,пересчёт скорость,0,0,0,0,0
3584536,5,спасибо за обновление покраска стена,0,0,0,0,0
3596020,5,выполнить быстро,0,0,0,0,0
3627490,5,спасибо управлять компания за то прислать грамотный специалист быстро отреагировать заявка,0,0,0,0,0
3695420,5,решить мой вопрос спасибо,0,0,0,0,0
3716702,5,очень радовать работа ук оперативно спасибо,0,0,0,0,0
3726842,5,всё исправить,0,0,0,0,0
3745025,5,спасибо за оперативный работа,0,0,0,0,0
3749719,5,выполнить отлично обработка заявка быть слишком дорога,0,0,0,0,0
3751364,5,спасибо большой теперь не скрипеть,0,0,0,0,0
3773834,1,норма,0,0,0,0,0
3791959,5,спасибо всё пройти очень хорошо,0,0,0,0,0
3797804,5,спасибо прислать всё поменять за минута,0,0,0,0,0
3799741,5,всё очень оперативно,0,0,0,0,0
3802024,5,огромный спасибо,0,0,0,0,0
3805876,5,всё отлично спасибо,0,0,0,0,0
3812092,5,хороший мастер,0,0,0,0,0
3815412,5,спасибо за оперативность,0,0,0,0,0
3820641,5,выполнить,0,0,0,0,0
3828569,5,всё супер мастер,0,0,0,0,0
3829748,5,благодарить ребята,0,0,0,0,0
3831509,5,спасибо большой,0,0,0,0,0
3834081,5,проблема решить ручка окно поставить спасибо за обратный связь,0,0,0,0,0
3835748,5,благодарить за проделать работа,0,0,0,0,0
3835874,5,надеяться причина устранить а то после первый дождь быть тоже самый,0,0,0,0,0
3839647,5,спасибо всё чётко,0,0,0,0,0
3840353,5,благодарить,0,0,0,0,0
3841026,5,спасибо сергей,0,0,0,0,0
3842440,5,михаил отличный мастер свой дело сделать быстро чисто дать рекомендация,0,0,0,0,0
3842790,5,хоть то сделать,0,0,0,0,0
3844645,5,профессионально быстро очень приятный мастер,0,0,0,0,0
3846831,5,спасибо вопрос решить всё стать нормально,0,0,0,0,0
3848236,5,татьяна владимирович большой вы спасибо,0,0,0,0,0
3850118,1,спасибо за быстрый ответ,0,0,0,0,0
3852179,5,огромный спасибо вы от весь подъезд,0,0,0,0,0
3854073,5,всё отлично,0,0,0,0,0
3856028,1,свершиться,0,0,0,0,0
3859764,5,спасибо мастер,0,0,0,0,0
3859780,5,спасибо вы среагировать оперативно быстро а так же всё время быть связь,0,0,0,0,0
3860248,5,среагировать быстро благодарить,0,0,0,0,0
3862448,5,отличный мастер,0,0,0,0,0
3863351,5,спасибо по крайний мера по ночь пока шум не слышный,0,0,0,0,0
3863609,5,быстро,0,0,0,0,0
3866829,5,спасибо за своевременный выполнение заявка,0,0,0,0,0
3866867,5,всё сделать быстро спасибо,0,0,0,0,0
3868883,5,всё отлично,0,0,0,0,0
3872124,5,большой спасибо александр за оперативность профессионализм,0,0,0,0,0
3873692,5,оперативно качественно спасибо,0,0,0,0,0
3875262,5,благодарить весь добрый,0,0,0,0,0
3877334,3,к мастер вопрос нет,0,0,0,0,0
3877901,5,мастер быстро решить проблема всё исправить очень довольный спасибо,0,0,0,0,0
3878088,5,вытяжка заработать спасибо отдельный спасибо мастер который сообщить нет причина препятствовать подключение вытяжка к домовой вентиляция,0,0,0,0,0
3878555,5,спасибо большой надолго ли,0,0,0,0,0
3879856,5,всё очень чётко организовать большой спасибо за работа,0,0,0,0,0
3880345,5,спасибо вы большой за дверь за номер квартира,0,0,0,0,0
3880717,3,снимать звезда за первый отписка без выполнение работа,0,0,0,0,0
3881004,5,день создание заявка рабочий оперативно прислать весь ужас убрать огромный благодарность,0,0,0,0,0
3881460,5,спасибо всё заработать,0,0,0,0,0
3881636,5,спасибо решить мой вопрос место офис,0,0,0,0,0
3882840,5,спасибо большой ольга птушкина за проделать работа,0,0,0,0,0
3883200,5,всё сделать хорошо починить вовремя наверное молодец,0,0,0,0,0
3883549,5,супер спасибо,0,0,0,0,0
3883658,5,отлично всё выполнить обещать,0,0,0,0,0
3883736,5,очень оперативно спасибо большой,0,0,0,0,0
3883745,5,мастер андрей помочь подобрать оборудование кран переходник для подключение быстро качественно произвести подключение стиральный машинка огромный он спасибо,0,0,0,0,0
3884964,5,умело подкрутить редуктор давление молодец,0,0,0,0,0
3885089,5,всё хорошо дверь практически бесшумно закрываться,0,0,0,0,0
3886150,5,проблема таковой не быть я процесс поиск страх компания весь лишь спасибо сотрудник,0,0,0,0,0
3886231,5,быстро чётко без проблема один слово мастер,0,0,0,0,0
3886721,5,работать спасибо,0,0,0,0,0
3886923,5,сегодня ездить всё исправно работать спасибо,0,0,0,0,0
3886937,5,спасибо большой всё понятно,0,0,0,0,0
3887002,5,татьяна спасибо,0,0,0,0,0
3887203,5,вопрос ответить крепление нельзя повесить колясочный,0,0,0,0,0
3887228,5,большой спасибо,0,0,0,0,0
3887353,5,хороший,0,0,0,0,0
3887392,5,спасибо за то быстро отреагировать,0,0,0,0,0
3887422,5,сервис высота мастер профессионал,0,0,0,0,0
3887606,1,около,0,0,0,0,0
3887614,2,надолго ли,0,0,0,0,0
3887743,5,спасибо всё работать,0,0,0,0,0
3887844,5,заявка выполнить спасибо,0,0,0,0,0
3887922,5,дверь закрываться намного хороший,0,0,0,0,0
3888009,5,спасибо за быстрый реагирование,0,0,0,0,0
3888318,5,оперативно сработать благодарить,0,0,0,0,0
3888354,5,спасибо сантехник алексей всё сделать качественно,0,0,0,0,0
3888539,5,огромный человеческий спасибо за оперативность выполнение работа наш дежурный сантехник прибыть воскресение через минута после написание заявка всё решиться хороший образ вот так бы всё вопрос оперативно решаться,0,0,0,0,0
3888591,5,очень оперативно никуда не прийтись ходить,0,0,0,0,0
3888606,5,проблема решить,0,0,0,0,0
3888633,5,очень оперативно отреагировать спасибо,0,0,0,0,0
3888794,5,оперативно качественно вопрос не возникнуть спасибо,0,0,0,0,0
3888828,5,благодарить за оперативность,0,0,0,0,0
3889213,5,спасибо за оперативный решение проблема,0,0,0,0,0
3889473,1,оперативный работа,0,0,0,0,0
3889502,5,оперативный решение проблема,0,0,0,0,0
3889542,5,первый раз вы решить вопрос быстро,0,0,0,0,0
3889783,5,отлично спасибо,0,0,0,0,0
3889827,5,спасибо большой татьяна,0,0,0,0,0
3889956,5,хороший мастер свет спасибо большой,0,0,0,0,0
3890030,5,спасибо большой починить домофон,0,0,0,0,0
3890209,5,отличный работа,0,0,0,0,0
3890231,5,спасибо огромный за помощь,0,0,0,0,0
3890239,5,обычный услуга цена правда завысить за около ти минута работа,0,0,0,0,0
3890275,5,отличный работа теперь дверь закрываться плавно спасибо,0,0,0,0,0
3890393,5,всё супер быстро спасибо,0,0,0,0,0
3890484,5,оперативно спасибо,0,0,0,0,0
3890486,5,супер,0,0,0,0,0
3890517,5,молодец оперативно,0,0,0,0,0
3890604,5,вопрос решиться быстро спасибо,0,0,0,0,0
3890678,5,александр спасибо за объяснение причина бульканье,0,0,0,0,0
3890716,5,спасибо всё быстро,0,0,0,0,0
3890985,5,спасибо исправить мой ошибка,0,0,0,0,0
3891095,5,мастер сделать всё очень быстро аккуратно,0,0,0,0,0
3891325,5,очень вежливый профессиональный мастер устранить всё недочёт оперативно качественно просто отлично спасибо,0,0,0,0,0
3891380,5,иван огромный спасибо вы,0,0,0,0,0
3891477,5,среагировать за минута,0,0,0,0,0
3891489,5,спасибо специалист роман который помочь я наконец то решить мой вопрос очень грамотный вежливый специалист,0,0,0,0,0
3891568,5,спасибо тот же день электрик решить проблема,0,0,0,0,0
3891612,5,лифт пола помыть большой спасибо за уборка ждать установка зеркало лифт,0,0,0,0,0
3891850,5,да всё верно спасибо,0,0,0,0,0
3891871,5,спасибо всё бистро устранить,0,0,0,0,0
3891943,4,спасибо вроде бы стать хороший,0,0,0,0,0
3892115,5,спасибо большой за ваш быстрый профессиональный помощь,0,0,0,0,0
3892189,5,всё быстро не смотреть поздний час,0,0,0,0,0
3892432,5,ответ быть предоставить оперативно полный объём,0,0,0,0,0
3892474,5,спасибо огромный напор стать отличный,0,0,0,0,0
3892548,5,спасибо там правда всё убрать стать прям чисто если мочь ещё отмыть пятно то быть очень вы признательный возможно там нужный не только тряпка,0,0,0,0,0
3892589,5,сделать,0,0,0,0,0
3892591,5,спасибо мастер сергей за чёткий работа,0,0,0,0,0
3892629,4,наконец то очень надеяться через день он не встать снова,0,0,0,0,0
3892632,5,благодарить очень оперативно,0,0,0,0,0
3892659,5,быстро мастер большой спасибо,0,0,0,0,0
3892748,5,вопрос решить быстро спасибо мастер фото выполнить работа приложить даже позвонить,0,0,0,0,0
3892858,5,главное проблема решить спасибо,0,0,0,0,0
3892909,5,спасибо всё сделать быстро очень вежливый сотрудник,0,0,0,0,0
